QID,Question,Category,Avg_Time_Min,Marks,Options,Correct_Answer
1,Solve: x + 5 = 12,Easy,1.0,2.0,"['x = 6', 'x = 7', 'x = 8', 'x = 9']",x = 7
2,If 2x = 14 find x,Easy,1.25,2.0,"['x = 5', 'x = 6', 'x = 7', 'x = 8']",x = 7
3,Simplify 3(x+2),Easy,1.5,2.0,"['3x+2', '3x+6', '6x+3', '9x']",3x+6
4,If x=2 find 2x²+3x,Moderate,3.25,3.0,"['10', '12', '14', '16']",14
5,Factorize: x² + 5x + 6,Moderate,2.0,3.0,"['(x+1)(x+6)', '(x+2)(x+3)', '(x+3)(x+4)', '(x+1)(x+5)']",(x+2)(x+3)
6,Expand: (x+3)(x+4),Moderate,3.25,3.0,"['x²+7x+12', 'x²+12x+7', 'x²+6x+12', 'x²+7x+9']",x²+7x+12
7,Solve 5x – 3 = 12,Moderate,2.0,3.0,"['x=2', 'x=3', 'x=4', 'x=5']",x=3
8,Solve: 2x² – 8 = 0,Difficult,3.0,5.0,"['x=±2', 'x=±4', 'x=2', 'x=4']",x=±2
9,Simplify (x² – 9)/(x – 3),Difficult,3.5,5.0,"['x+3', 'x–3', 'x²–3', '3x']",x+3
10,Find roots: x² – 7x + 10 = 0,Difficult,3.5,5.0,"['x=2,5', 'x=3,4', 'x=1,10', 'x=5,2']","x=2,5"
11,If x=3 find (x²+2x+1),Difficult,5.25,5.0,"['10', '12', '16', '18']",16
12,Expand (2x+1)²,Moderate,3.0,3.0,"['4x²+1', '4x²+4x+1', '2x²+2x+1', 'x²+2x+1']",4x²+4x+1
13,Solve: (x/2) + (x/3) = 10,Moderate,4.0,3.0,"['x=10', 'x=12', 'x=15', 'x=20']",x=12
14,"If x=2, y=3 find 2x²+3y",Moderate,3.25,3.0,"['16', '18', '20', '22']",20
15,Factorize: x² – 4x + 4,Moderate,3.5,3.0,"['(x–2)²', '(x+2)²', '(x–4)(x+1)', '(x–1)(x–3)']",(x–2)²
16,Solve: x² – 5x + 6 = 0,Moderate,3.5,3.0,"['x=2,3', 'x=3,4', 'x=1,6', 'x=5,6']","x=2,3"
17,Solve: 2x² + 3x – 2 = 0,Difficult,5.0,5.0,"['x=½,–2', 'x=1,–1', 'x=2,–½', 'x=3,–2']","x=½,–2"
18,Find roots: x² + 2x + 5 = 0,Difficult,5.25,5.0,"['No real roots', 'x=1,–5', 'x=–1±2i', 'x=±√5']",No real roots
19,Solve: (x+1)(x–2)(x–3)=0,Difficult,5.5,5.0,"['x=–1,2,3', 'x=1,2,3', 'x=–1,–2,–3', 'x=0,2,3']","x=–1,2,3"
20,"If x²+ y²=25, xy=12, find (x+y)²",Difficult,5.25,5.0,"['25', '36', '49', '64']",49
21,Solve: x³ – 6x² + 11x – 6 = 0,Difficult,6.0,5.0,"['x=1,2,3', 'x=–1,–2,–3', 'x=0,2,3', 'x=1,3,6']","x=1,2,3"
22,Factorize x³+3x²+3x+1,Difficult,6.0,5.0,"['(x+1)³', '(x+2)³', '(x+3)³', '(x+1)(x²+2x+1)']",(x+1)³
23,If x²+2x+1=0 find x,Difficult,5.25,5.0,"['x=–1', 'x=1', 'x=2', 'x=–2']",x=–1
24,Simplify: (x²–4)/(x²–2x),Difficult,5.0,5.0,"['(x+2)/(x)', '(x–2)/(x–1)', '(x+2)/(x–2)', '(x+2)/(x–1)']",(x+2)/(x–2)
25,Solve: 2x²+7x+5=0,Difficult,5.25,5.0,"['x=–1,–2.5', 'x=–1,–2', 'x=–2,–3', 'x=1,5']","x=–1,–2.5"
26,Solve: |x–3| = 5,Difficult,5.25,5.0,"['x=8,–2', 'x=5,–2', 'x=–8,2', 'x=2,–8']","x=8,–2"
27,Solve: (x–1)(x²+1)=0,Difficult,5.5,5.0,"['x=1,±i', 'x=–1,±i', 'x=0,1', 'x=±i']","x=1,±i"
28,"If 2x+y=10, x–y=2, find x,y",Difficult,5.25,5.0,"['x=4,y=2', 'x=3,y=4', 'x=5,y=3', 'x=2,y=4']","x=4,y=2"
29,Simplify: (x³–1)/(x–1),Difficult,5.25,5.0,"['x²+x+1', 'x²–x+1', 'x²+1', 'x³–1']",x²+x+1
30,Find general solution: x²–2x+2=0,Difficult,6.0,5.0,"['x=1±i', 'x=–1±i', 'x=2±i', 'x=1±2i']",x=1±i
